# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Shahinshahr | Iran | 173329 | 173329 (2016) | 1.00 | City | 213 | Shahinshahr
Shahr-e Babak | Iran | 51620 | 51620 (2016) | 1.00 | City | 274 | Shahr-e Babak
Shahr-e Kord | Iran | 190441 | 190441 (2016) | 1.00 | City | 913 | Shahr-e Kord
Shahreza | Iran | 134952 | 134952 (2016) | 1.00 | City | 396 | Shahreza
Shahrud | Iran | 150129 | 165000 (2025) | 0.91 | City | 517 | Shahrud, Iran
Shirvan | Iran | 82689 | 82689 (2016) | 1.00 | City | 183 | Shirvan, Iran
Shush | Iran | 77148 | 79048 (2021 Census) | 0.98 | City | 1644 | Shush, Iran
Shushtar | Iran | 101878 | 101878 (2016) | 1.00 | City | 1461 | Shushtar
Sirjan | Iran | 199704 | 199704 (2016) | 1.00 | City | 609 | Sirjan
Susangerd | Iran | 51431 | 51431 (2016) | 1.00 | City | 274 | Susangerd
Takestan | Iran | 80299 | 80299 (2016) | 1.00 | City | 244 | Takestan
Talesh | Iran | 54178 | 54178 (2016) | 1.00 | City | 213 | Tālesh
Taybad | Iran | 56562 | 56562 (2016) | 1.00 | City | 183 | Taybad
Tonekabon | Iran | 55434 | 55434 (2016) | 1.00 | City | 426 | Tonekabon
Torbat-e Heydarieh | Iran | 140019 | 140019 (2016) | 1.00 | City | 274 | Torbat-e Heydarieh
Torbat-e Jam | Iran | 100449 | 100449 (2016) | 1.00 | City | 335 | Torbat-e Jam
Tuyserkan | Iran | 50455 | 50455 (2016) | 1.00 | City | 244 | Tuyserkan
Varamin | Iran | 225628 | 225628 (2016) | 1.00 | City | 487 | Varamin
Yasuj | Iran | 134532 | 134532 (2016) | 1.00 | City | 731 | Yasuj
Zabol | Iran | 134950 | 134950 (2016) | 1.00 | City | 974 | Zabol
Zanjan | Iran | 430871 | 698255 (2024) | 0.62 | City | 1400 | Zanjan, Iran
Zarand | Iran | 60370 | 60370 (2016) | 1.00 | City | 91 | Zarand, Iran
Al Diwaniyah | Iraq | 391600 | 396257 () | 0.99 | City | 700 | Al Diwaniyah
Al-Hay | Iraq | 82900 | no figure |  | Town | 91 | Al-Hay
Al-Qa'im | Iraq | 150000 | 74100 (2018) | 2.02 | Border town | 1126 | Al-Qa'im (town)
Al-Qurnah | Iraq | 126438 | 286073 (2018) | 0.44 | City | 1065 | Al-Qurnah
Amarah | Iraq | 511500 | 719898 (2024 census) | 0.71 | City | 1157 | Amarah
Az Zubayr | Iraq | 370000 | 370000 (2014) | 1.00 | City | 700 | Az Zubayr
Baiji | Iraq | 60000 | 173677 (2014) | 0.35 | City | 274 | Baiji (city)
Balad | Iraq | 62817 | 80000 (2015) | 0.79 | City | 487 | Balad, Iraq
Balad Ruz | Iraq | 100000 | no figure |  | Town | 122 | Balad Ruz
Halabja | Iraq | 65200 | 245700 (2018) | 0.27 | City | 1644 | Halabja
Hit | Iraq | 66700 | 66700 (2018) | 1.00 | City | 487 | Hit, Iraq
Kufa | Iraq | 171305 | 230000 (|population_footnote) | 0.74 | City | 7214 | Kufa
Kut | Iraq | 377600 | 315162 (2019) | 1.20 | City | 1370 | Kut
Samawah | Iraq | 215000 | 152890 () | 1.41 | City | 974 | Samawah
Simele | Iraq | 110000 | 71557 (2018) | 1.54 | Town | 274 | Simele
Umm Qasr | Iraq | 107620 | 107620 (2003) | 1.00 |  | 1400 | Umm Qasr
